Date,State,Commodity,Market,Modal Price,Min Price,Max Price,Arrivals (Volume),Rainfall (mm),Temperature Max (°C),Temperature Min (°C),Humidity (%),Festival,Season,MSP,Policy Impact
2020-01-04,Punjab,Wheat,Amritsar,1947.53,1761.95,2098.39,558.01,0.0,26,16,73,Ramzan,Summer,1585.6,None
2020-01-05,Maharashtra,Onion,Lasalgaon,2613.67,2477.1,2713.03,292.84,0.0,31,23,61,None,Summer,,None
2020-01-05,Maharashtra,Onion,Pune,1099.95,972.06,1263.3,519.17,2.9,38,30,51,Diwali,Rabi,,None
2020-01-05,Uttar Pradesh,Potato,Agra,1194.59,1021.25,1272.31,537.79,0.0,32,18,62,None,Summer,,None
2020-01-05,Uttar Pradesh,Potato,Kanpur,1817.71,1640.3,1998.34,598.07,0.0,42,37,53,None,Summer,,None
2020-01-05,Madhya Pradesh,Moong,Indore,1704.87,1579.92,1806.13,451.01,0.2,28,23,69,None,Rabi,1511.42,MSP Revised
2020-01-05,Madhya Pradesh,Moong,Bhopal,1740.37,1657.92,1808.02,401.38,0.61,41,32,58,None,Kharif,2977.75,None
2020-01-05,Karnataka,Tomato,Bangalore,1466.06,1388.25,1614.63,562.29,0.0,29,14,33,None,Summer,,MSP Revised
2020-01-05,Telangana,Tomato,Hyderabad,2540.34,2448.67,2631.28,664.98,1.93,33,23,66,None,Rabi,,MSP Revised
2020-01-05,Punjab,Wheat,Ludhiana,1670.2,1580.53,1729.44,558.23,0.0,25,16,48,None,Summer,2304.11,None
2020-01-05,Punjab,Wheat,Amritsar,1969.83,1845.68,2094.98,575.67,1.47,30,16,88,Holi,Kharif,1986.02,None
2020-01-06,Maharashtra,Onion,Lasalgaon,2561.15,2480.69,2646.97,533.11,0.0,28,23,32,Diwali,Summer,,None
2020-01-06,Maharashtra,Onion,Pune,2658.77,2607.8,2739.3,549.66,0.0,39,25,84,None,Summer,,MSP Revised
2020-01-06,Uttar Pradesh,Potato,Agra,1268.21,1080.34,1453.05,705.56,0.0,39,33,52,None,Summer,,MSP Revised
2020-01-06,Uttar Pradesh,Potato,Kanpur,1512.0,1326.22,1606.83,544.51,2.03,25,14,65,None,Rabi,,Subsidy Introduced
2020-01-06,Madhya Pradesh,Moong,Indore,2155.12,1994.24,2330.14,483.31,2.44,32,18,53,None,Kharif,2418.32,Subsidy Introduced
2020-01-06,Madhya Pradesh,Moong,Bhopal,1414.2,1357.22,1521.16,430.98,0.0,38,26,34,None,Summer,2910.42,None
2020-01-06,Karnataka,Tomato,Bangalore,1004.31,919.38,1127.21,436.45,0.0,33,20,71,None,Summer,,MSP Revised
2020-01-06,Telangana,Tomato,Hyderabad,2430.0,2304.52,2574.73,473.07,0.0,37,30,75,None,Summer,,MSP Revised
2020-01-06,Punjab,Wheat,Ludhiana,1751.24,1573.23,1844.76,337.28,1.56,26,20,56,None,Rabi,2810.27,None
2020-01-06,Punjab,Wheat,Amritsar,1814.04,1751.99,1891.31,441.3,3.44,35,22,64,None,Kharif,2410.11,None
2020-01-07,Maharashtra,Onion,Lasalgaon,1364.57,1192.62,1429.89,514.92,15.17,38,29,83,None,Kharif,,None
2020-01-07,Maharashtra,Onion,Pune,2409.81,2354.51,2504.12,439.05,7.86,28,13,73,None,Kharif,,None
2020-01-07,Uttar Pradesh,Potato,Agra,1335.63,1147.8,1518.22,487.57,3.83,37,24,60,None,Rabi,,None
2020-01-07,Uttar Pradesh,Potato,Kanpur,1148.52,1009.87,1342.26,620.88,0.0,36,24,90,None,Summer,,None
2020-01-07,Madhya Pradesh,Moong,Indore,2849.32,2716.44,2908.34,388.55,0.0,39,31,64,Ramzan,Summer,1969.62,None
2020-01-07,Madhya Pradesh,Moong,Bhopal,2347.8,2158.79,2545.45,624.45,2.81,37,28,86,None,Rabi,2834.23,None
2020-01-07,Karnataka,Tomato,Bangalore,1768.67,1587.6,1921.48,525.18,4.07,26,19,31,None,Rabi,,None
2020-01-07,Telangana,Tomato,Hyderabad,1124.91,945.1,1179.48,609.01,3.06,38,30,56,Ramzan,Rabi,,None
2020-01-07,Punjab,Wheat,Ludhiana,2582.35,2524.85,2770.09,765.5,2.94,41,30,50,None,Kharif,1611.62,MSP Revised
2020-01-07,Punjab,Wheat,Amritsar,1643.11,1576.71,1766.29,352.52,0.0,27,19,76,None,Summer,2571.21,None
2020-01-08,Maharashtra,Onion,Lasalgaon,1566.64,1470.62,1709.56,453.45,0.0,38,29,69,Diwali,Summer,,None
2020-01-08,Maharashtra,Onion,Pune,1898.8,1791.42,2088.11,554.37,0.0,26,19,86,None,Summer,,None
2020-01-08,Uttar Pradesh,Potato,Agra,1346.58,1170.19,1440.46,364.02,0.0,33,21,74,None,Summer,,None
2020-01-08,Uttar Pradesh,Potato,Kanpur,2005.55,1917.23,2177.61,466.7,0.0,27,22,64,None,Summer,,None
2020-01-08,Madhya Pradesh,Moong,Indore,2861.92,2768.27,2953.72,679.5,0.0,42,36,34,Holi,Summer,2912.92,None
2020-01-08,Madhya Pradesh,Moong,Bhopal,2798.03,2651.6,2942.61,641.76,0.0,29,20,58,None,Summer,2100.83,Export Ban
2020-01-08,Karnataka,Tomato,Bangalore,1240.55,1161.8,1438.8,441.63,1.58,39,27,46,None,Rabi,,None
2020-01-08,Telangana,Tomato,Hyderabad,1106.22,1015.23,1198.86,423.36,0.0,29,14,62,None,Summer,,None
2020-01-08,Punjab,Wheat,Ludhiana,1984.37,1865.89,2174.91,580.42,6.79,27,21,54,None,Rabi,1597.03,None
2020-01-08,Punjab,Wheat,Amritsar,1494.49,1427.34,1684.67,483.83,3.11,37,28,67,Holi,Rabi,2395.37,MSP Revised
2020-01-09,Maharashtra,Onion,Lasalgaon,1693.04,1603.95,1744.66,502.24,1.6,29,21,52,None,Kharif,,None
2020-01-09,Maharashtra,Onion,Pune,1798.98,1663.27,1935.22,506.13,1.87,30,21,70,None,Rabi,,None
2020-01-09,Uttar Pradesh,Potato,Agra,2612.65,2492.18,2715.75,581.21,0.0,34,29,57,None,Summer,,None
2020-01-09,Uttar Pradesh,Potato,Kanpur,2162.07,2087.56,2238.24,576.28,0.0,31,16,48,None,Summer,,None
2020-01-09,Madhya Pradesh,Moong,Indore,2944.75,2812.14,3121.15,597.55,1.9,34,26,64,None,Kharif,1648.46,MSP Revised
2020-01-09,Madhya Pradesh,Moong,Bhopal,1499.74,1440.55,1592.7,522.71,0.0,34,29,66,None,Summer,2100.27,None
2020-01-09,Karnataka,Tomato,Bangalore,2697.75,2534.44,2884.49,573.2,0.0,30,19,62,None,Summer,,None
2020-01-09,Telangana,Tomato,Hyderabad,2289.21,2089.25,2344.2,560.41,0.0,41,27,87,None,Summer,,None
2020-01-09,Punjab,Wheat,Ludhiana,2292.78,2206.04,2419.86,586.98,2.65,42,30,49,None,Rabi,2402.12,None
2020-01-09,Punjab,Wheat,Amritsar,1080.94,908.88,1168.34,388.72,1.84,39,34,71,None,Rabi,2802.85,None
2020-01-10,Maharashtra,Onion,Lasalgaon,1453.37,1329.01,1515.05,533.16,1.61,35,26,37,Diwali,Rabi,,None
2020-01-10,Maharashtra,Onion,Pune,2879.33,2826.87,3067.61,501.31,0.0,25,14,90,Ramzan,Summer,,MSP Revised
2020-01-10,Uttar Pradesh,Potato,Agra,1354.41,1249.49,1436.28,577.88,0.0,31,17,89,None,Summer,,MSP Revised
2020-01-10,Uttar Pradesh,Potato,Kanpur,1363.27,1278.4,1508.56,528.67,2.81,25,18,89,None,Kharif,,MSP Revised
2020-01-10,Madhya Pradesh,Moong,Indore,2969.51,2864.5,3148.57,616.87,2.33,37,26,40,None,Kharif,1860.24,MSP Revised
2020-01-10,Madhya Pradesh,Moong,Bhopal,1715.15,1580.82,1847.45,388.69,0.0,27,22,74,None,Summer,1627.78,None
2020-01-10,Karnataka,Tomato,Bangalore,2007.45,1923.69,2188.07,512.84,2.2,41,35,90,None,Rabi,,None
2020-01-10,Telangana,Tomato,Hyderabad,1224.3,1160.9,1304.39,409.85,0.0,33,27,68,Holi,Summer,,Subsidy Introduced
2020-01-10,Punjab,Wheat,Ludhiana,1928.94,1807.6,2115.77,568.4,0.0,38,26,63,None,Summer,1603.55,None
2020-01-10,Punjab,Wheat,Amritsar,1774.76,1679.56,1843.07,453.91,4.34,34,29,46,None,Kharif,2495.82,None
2020-01-11,Maharashtra,Onion,Lasalgaon,1961.11,1882.98,2152.23,385.63,0.42,28,17,62,None,Rabi,,Subsidy Introduced
2020-01-11,Maharashtra,Onion,Pune,1229.61,1127.61,1388.11,602.99,0.75,38,31,30,Ramzan,Kharif,,None
2020-01-11,Uttar Pradesh,Potato,Agra,1250.44,1141.23,1437.57,441.23,6.22,25,13,39,Holi,Rabi,,None
2020-01-11,Uttar Pradesh,Potato,Kanpur,1862.71,1780.85,2008.1,429.94,2.19,30,17,83,None,Rabi,,Subsidy Introduced
2020-01-11,Madhya Pradesh,Moong,Indore,2958.11,2893.56,3144.56,660.67,0.0,38,31,32,None,Summer,2378.82,None
2020-01-11,Madhya Pradesh,Moong,Bhopal,1259.02,1072.74,1447.72,470.11,9.98,32,18,39,None,Rabi,2705.45,None
2020-01-11,Karnataka,Tomato,Bangalore,2823.02,2743.34,2907.32,562.73,2.59,36,31,74,None,Rabi,,None
2020-01-11,Telangana,Tomato,Hyderabad,1770.99,1650.61,1883.39,402.11,0.0,28,19,68,None,Summer,,None
2020-01-11,Punjab,Wheat,Ludhiana,2342.9,2289.22,2499.69,482.93,3.23,33,25,40,None,Rabi,2144.73,None
2020-01-11,Punjab,Wheat,Amritsar,1196.43,1111.55,1248.44,405.24,0.0,42,28,66,None,Summer,2452.89,None
2020-01-12,Maharashtra,Onion,Lasalgaon,1860.87,1732.0,2054.88,549.67,1.75,31,16,84,None,Rabi,,None
2020-01-12,Maharashtra,Onion,Pune,2243.11,2053.05,2339.22,510.16,0.0,25,20,86,None,Summer,,None
2020-01-12,Uttar Pradesh,Potato,Agra,1778.42,1690.79,1891.12,646.8,0.0,42,36,57,None,Summer,,Subsidy Introduced
2020-01-12,Uttar Pradesh,Potato,Kanpur,1428.16,1283.38,1561.5,581.04,0.0,36,28,84,None,Summer,,Export Ban
2020-01-12,Madhya Pradesh,Moong,Indore,1520.88,1424.19,1583.65,333.32,0.0,29,18,82,None,Summer,2552.47,None
2020-01-12,Madhya Pradesh,Moong,Bhopal,1053.42,909.77,1160.29,448.16,5.67,36,28,78,Diwali,Kharif,1641.74,None
2020-01-12,Karnataka,Tomato,Bangalore,2943.13,2781.34,3132.42,590.69,0.0,28,16,69,None,Summer,,None
2020-01-12,Telangana,Tomato,Hyderabad,1764.67,1686.24,1932.67,577.51,0.0,26,20,89,Diwali,Summer,,None
2020-01-12,Punjab,Wheat,Ludhiana,1138.45,1034.52,1212.69,450.07,4.25,29,16,60,Ramzan,Rabi,2615.79,None
2020-01-12,Punjab,Wheat,Amritsar,1012.99,865.9,1064.84,546.49,2.45,29,20,72,None,Rabi,2854.63,None
2020-01-13,Maharashtra,Onion,Lasalgaon,2885.31,2743.33,2951.3,487.34,1.08,29,22,40,Holi,Kharif,,Export Ban
2020-01-13,Maharashtra,Onion,Pune,2717.28,2584.55,2777.8,633.02,2.5,39,28,71,Ramzan,Rabi,,MSP Revised
2020-01-13,Uttar Pradesh,Potato,Agra,2455.3,2343.14,2567.9,651.65,1.02,40,29,55,None,Rabi,,None
2020-01-13,Uttar Pradesh,Potato,Kanpur,2784.21,2707.75,2881.57,512.17,0.0,33,28,83,None,Summer,,None
2020-01-13,Madhya Pradesh,Moong,Indore,2963.93,2896.69,3158.26,302.84,4.69,28,18,48,None,Rabi,1826.91,Subsidy Introduced
2020-01-13,Madhya Pradesh,Moong,Bhopal,1542.85,1463.27,1730.52,532.68,0.98,34,19,33,None,Rabi,2500.64,None
2020-01-13,Karnataka,Tomato,Bangalore,2402.79,2203.32,2497.88,384.8,5.77,30,15,42,None,Rabi,,None
2020-01-13,Telangana,Tomato,Hyderabad,2201.33,2036.21,2269.2,406.31,1.61,41,29,49,None,Kharif,,MSP Revised
2020-01-13,Punjab,Wheat,Ludhiana,1163.67,982.93,1250.56,479.57,4.05,33,26,53,Holi,Kharif,1879.64,Subsidy Introduced
2020-01-13,Punjab,Wheat,Amritsar,1473.06,1286.45,1595.56,492.02,0.26,29,19,82,Holi,Kharif,2781.75,Subsidy Introduced
2020-01-14,Maharashtra,Onion,Lasalgaon,2215.27,2157.7,2292.56,547.49,6.19,40,26,31,None,Kharif,,None
2020-01-14,Maharashtra,Onion,Pune,1011.57,906.69,1195.55,397.92,0.0,32,23,78,None,Summer,,None
2020-01-14,Uttar Pradesh,Potato,Agra,2616.39,2522.57,2730.43,335.25,0.39,41,27,79,Diwali,Rabi,,None
2020-01-14,Uttar Pradesh,Potato,Kanpur,2664.44,2519.92,2779.65,540.44,0.74,33,22,44,None,Rabi,,None
2020-01-14,Madhya Pradesh,Moong,Indore,1578.18,1435.49,1673.83,357.95,1.47,36,24,46,None,Kharif,2762.3,None
2020-01-14,Madhya Pradesh,Moong,Bhopal,1199.45,1092.59,1329.44,618.83,3.93,35,24,52,None,Kharif,2080.99,None
2020-01-14,Karnataka,Tomato,Bangalore,1930.32,1865.51,2021.25,391.27,0.0,25,17,52,None,Summer,,None
2020-01-14,Telangana,Tomato,Hyderabad,2373.67,2216.36,2452.57,503.11,0.0,36,26,39,None,Summer,,MSP Revised
2020-01-14,Punjab,Wheat,Ludhiana,2195.59,2121.68,2358.56,602.66,4.37,37,32,54,None,Rabi,2992.46,None
2020-01-14,Punjab,Wheat,Amritsar,2952.11,2882.8,3122.37,427.81,0.0,26,19,36,Diwali,Summer,2047.13,Subsidy Introduced
2020-01-15,Maharashtra,Onion,Lasalgaon,1271.2,1204.16,1331.05,441.29,3.38,31,26,80,Ramzan,Kharif,,None
2020-01-15,Maharashtra,Onion,Pune,1274.74,1208.75,1329.45,484.41,5.84,30,23,85,None,Rabi,,None
2020-01-15,Uttar Pradesh,Potato,Agra,2091.1,2021.29,2289.26,685.22,9.33,32,21,30,None,Kharif,,None
2020-01-15,Uttar Pradesh,Potato,Kanpur,2343.05,2285.89,2464.08,652.76,2.7,28,13,73,None,Rabi,,None
2020-01-15,Madhya Pradesh,Moong,Indore,2015.06,1827.17,2106.51,732.26,3.27,29,24,66,Diwali,Kharif,2087.93,None
2020-01-15,Madhya Pradesh,Moong,Bhopal,2173.07,2003.87,2338.46,498.27,3.76,28,19,84,Diwali,Kharif,1871.94,Export Ban
2020-01-15,Karnataka,Tomato,Bangalore,1784.77,1691.44,1915.28,424.65,0.0,41,33,51,None,Summer,,None
2020-01-15,Telangana,Tomato,Hyderabad,1070.11,877.96,1189.12,541.9,5.71,30,22,60,None,Rabi,,None
2020-01-15,Punjab,Wheat,Ludhiana,1305.45,1156.34,1390.61,580.13,0.0,37,24,39,Holi,Summer,2175.02,None
2020-01-15,Punjab,Wheat,Amritsar,1612.56,1415.67,1706.3,644.28,3.37,26,17,36,None,Kharif,2463.56,Subsidy Introduced
2020-01-16,Maharashtra,Onion,Lasalgaon,1245.83,1118.8,1318.82,650.03,0.0,42,37,79,None,Summer,,None
2020-01-16,Maharashtra,Onion,Pune,1559.46,1438.55,1678.1,597.9,6.24,35,24,54,None,Kharif,,None
2020-01-16,Uttar Pradesh,Potato,Agra,2136.27,2014.98,2266.34,433.94,18.18,41,36,61,None,Rabi,,Export Ban
2020-01-16,Uttar Pradesh,Potato,Kanpur,1557.65,1404.94,1658.19,617.86,4.21,25,16,69,None,Kharif,,None
2020-01-16,Madhya Pradesh,Moong,Indore,2095.17,1931.41,2165.7,689.14,0.0,34,19,82,None,Summer,2954.47,None
2020-01-16,Madhya Pradesh,Moong,Bhopal,1786.02,1610.77,1984.5,456.49,4.9,32,23,66,Ramzan,Rabi,2278.99,None
2020-01-16,Karnataka,Tomato,Bangalore,2752.35,2619.05,2853.08,470.99,4.09,42,35,66,None,Rabi,,None
2020-01-16,Telangana,Tomato,Hyderabad,2943.86,2865.68,3010.25,514.13,0.0,27,15,63,Holi,Summer,,MSP Revised
2020-01-16,Punjab,Wheat,Ludhiana,2596.65,2536.22,2675.34,480.48,0.0,27,17,81,Ramzan,Summer,2300.82,None
2020-01-16,Punjab,Wheat,Amritsar,2363.42,2220.42,2426.31,528.42,7.26,41,30,30,Ramzan,Kharif,1756.99,None
2020-01-17,Maharashtra,Onion,Lasalgaon,2391.49,2307.34,2468.74,376.96,1.44,35,24,90,None,Rabi,,Export Ban
2020-01-17,Maharashtra,Onion,Pune,2247.84,2084.39,2398.73,521.8,0.6,34,28,77,Holi,Rabi,,None
2020-01-17,Uttar Pradesh,Potato,Agra,2077.32,2007.54,2262.03,536.67,3.95,42,37,57,None,Kharif,,Export Ban
2020-01-17,Uttar Pradesh,Potato,Kanpur,1030.1,858.78,1191.19,567.89,12.6,26,20,39,None,Kharif,,None
2020-01-17,Madhya Pradesh,Moong,Indore,1525.0,1368.45,1698.39,499.54,0.0,41,33,90,None,Summer,2225.24,Subsidy Introduced
2020-01-17,Madhya Pradesh,Moong,Bhopal,1059.26,868.43,1157.53,679.13,0.38,34,24,49,None,Kharif,1624.05,None
2020-01-17,Karnataka,Tomato,Bangalore,2140.11,2005.31,2332.46,466.64,1.1,26,18,31,None,Kharif,,None
2020-01-17,Telangana,Tomato,Hyderabad,1928.28,1804.71,2055.06,511.51,0.0,29,16,33,None,Summer,,None
2020-01-17,Punjab,Wheat,Ludhiana,1436.27,1359.82,1587.88,574.41,3.3,36,26,75,None,Rabi,2524.46,Subsidy Introduced
2020-01-17,Punjab,Wheat,Amritsar,2052.16,1981.95,2198.5,413.24,6.26,29,16,67,None,Rabi,2247.61,None
2020-01-18,Maharashtra,Onion,Lasalgaon,1490.28,1388.25,1552.65,491.32,3.34,31,22,39,None,Rabi,,MSP Revised
2020-01-18,Maharashtra,Onion,Pune,1724.09,1582.55,1844.65,481.52,2.96,29,19,75,Diwali,Rabi,,None
2020-01-18,Uttar Pradesh,Potato,Agra,2480.53,2284.29,2561.69,466.6,0.0,35,24,64,None,Summer,,None
2020-01-18,Uttar Pradesh,Potato,Kanpur,1082.88,907.03,1147.7,600.07,4.83,29,14,52,None,Rabi,,MSP Revised
2020-01-18,Madhya Pradesh,Moong,Indore,1620.78,1427.47,1802.29,452.53,0.61,27,12,85,None,Kharif,1940.99,None
2020-01-18,Madhya Pradesh,Moong,Bhopal,2030.77,1945.64,2086.92,598.49,0.78,25,20,57,None,Rabi,1928.36,None
2020-01-18,Karnataka,Tomato,Bangalore,2199.63,2025.55,2283.37,420.22,0.0,42,37,61,None,Summer,,None
2020-01-18,Telangana,Tomato,Hyderabad,2597.95,2501.45,2648.94,605.48,4.5,28,19,70,None,Rabi,,None
2020-01-18,Punjab,Wheat,Ludhiana,1803.14,1742.53,1987.23,491.87,7.73,35,23,37,None,Rabi,1501.67,Export Ban
2020-01-18,Punjab,Wheat,Amritsar,1889.34,1742.21,1940.13,492.18,10.68,38,25,68,None,Rabi,2270.43,None
2020-01-19,Maharashtra,Onion,Lasalgaon,2356.34,2188.73,2454.73,427.94,0.0,41,30,49,None,Summer,,None
2020-01-19,Maharashtra,Onion,Pune,1096.83,960.85,1289.7,389.0,4.13,36,27,77,None,Kharif,,None
2020-01-19,Uttar Pradesh,Potato,Agra,1066.85,1009.3,1144.84,464.79,4.08,28,14,66,None,Rabi,,None
2020-01-19,Uttar Pradesh,Potato,Kanpur,1869.85,1686.39,1968.13,413.06,0.0,38,24,54,None,Summer,,Export Ban
2020-01-19,Madhya Pradesh,Moong,Indore,1712.24,1561.39,1816.33,521.67,2.02,37,31,37,Diwali,Rabi,1676.7,Export Ban
2020-01-19,Madhya Pradesh,Moong,Bhopal,1419.26,1285.38,1583.51,552.72,3.06,38,26,44,None,Rabi,1641.61,None
2020-01-19,Karnataka,Tomato,Bangalore,1315.86,1244.69,1406.3,753.64,0.0,30,18,78,None,Summer,,MSP Revised
2020-01-19,Telangana,Tomato,Hyderabad,2932.23,2762.18,3109.35,548.35,1.0,25,17,69,None,Kharif,,MSP Revised
2020-01-19,Punjab,Wheat,Ludhiana,1457.19,1376.39,1553.96,522.59,2.4,25,11,76,Ramzan,Rabi,2170.85,None
2020-01-19,Punjab,Wheat,Amritsar,1484.31,1364.52,1638.71,502.42,1.35,27,17,69,None,Rabi,1528.85,None
2020-01-20,Maharashtra,Onion,Lasalgaon,1277.43,1103.34,1452.0,401.94,1.04,25,12,70,None,Kharif,,None
2020-01-20,Maharashtra,Onion,Pune,1990.72,1907.34,2121.03,466.25,4.27,42,29,76,None,Rabi,,None
2020-01-20,Uttar Pradesh,Potato,Agra,2600.57,2441.73,2751.04,358.15,1.57,26,12,63,None,Kharif,,None
2020-01-20,Uttar Pradesh,Potato,Kanpur,2407.41,2271.7,2480.19,506.4,4.66,41,31,63,None,Rabi,,Export Ban
2020-01-20,Madhya Pradesh,Moong,Indore,2576.98,2430.34,2685.47,667.26,9.68,25,15,50,Diwali,Kharif,1546.12,None
2020-01-20,Madhya Pradesh,Moong,Bhopal,1730.67,1678.99,1782.69,446.62,0.0,25,13,72,Ramzan,Summer,1642.49,None
2020-01-20,Karnataka,Tomato,Bangalore,2178.64,2072.02,2312.12,526.77,2.12,40,34,41,None,Kharif,,MSP Revised
2020-01-20,Telangana,Tomato,Hyderabad,2775.14,2576.97,2947.31,697.3,0.0,28,20,40,Diwali,Summer,,MSP Revised
2020-01-20,Punjab,Wheat,Ludhiana,1782.8,1678.25,1976.19,466.37,0.0,37,24,87,None,Summer,2694.47,None
2020-01-20,Punjab,Wheat,Amritsar,2162.2,1975.32,2275.21,573.76,5.32,39,34,57,Ramzan,Rabi,2605.44,None
2020-01-21,Maharashtra,Onion,Lasalgaon,2391.57,2219.74,2504.18,434.46,0.0,25,18,57,None,Summer,,None
2020-01-21,Maharashtra,Onion,Pune,1104.13,1050.96,1172.89,387.69,9.59,35,28,58,None,Kharif,,None
2020-01-21,Uttar Pradesh,Potato,Agra,2285.1,2123.38,2456.48,406.51,2.37,41,30,43,None,Rabi,,MSP Revised
2020-01-21,Uttar Pradesh,Potato,Kanpur,2894.37,2728.68,2962.19,480.07,6.59,33,23,51,None,Rabi,,None
2020-01-21,Madhya Pradesh,Moong,Indore,2736.85,2550.43,2911.85,576.21,6.12,40,27,89,Holi,Kharif,2141.73,None
